Artista,Album,Genero,Ano,Nome,Duracao,Classificação,Reproducoes,DataAdicao,UltimaReproducao
"José Peixoto e Maria João","Pele",Portuguese Music,2002,"Vê Se Adivinhas",5:02,0,1,20/03/2020 10:47,23/05/2020 12:40
"José Peixoto e Maria João","Pele",Portuguese Music,2002,"Sono Adormecido",4:09,0,1,20/03/2020 10:45,23/05/2020 12:35
"Ani DiFranco","Binary",,2017,"Binary",4:22,0,2,20/03/2020 10:44,23/05/2020 12:09
"Pink Floyd","The Final Cut",Rock Progressivo,1983,"The Hero's Return",2:57,0,2,20/03/2020 10:44,30/03/2020 11:55
"Regina Carter","Reverse Thread",Jazz,2010,"Juru Nani / God Be with You",4:08,0,2,20/03/2020 10:44,01/04/2020 10:09
"Adriana Deffenti","Adriana Deffenti",MPB,2006,"O Recado Delas",3:56,0,1,20/03/2020 10:44,27/04/2020 14:12
"Adriana Deffenti","Adriana Deffenti",MPB,2006,"Luca",4:04,100,1,20/03/2020 10:44,27/04/2020 14:16
"Adriana Deffenti","Adriana Deffenti",MPB,2006,"Capitu",3:46,0,1,20/03/2020 10:44,27/04/2020 14:21
"Adriana Deffenti","Adriana Deffenti",MPB,2006,"É Assim Que Brinco",5:02,0,1,20/03/2020 10:44,27/04/2020 14:26
"Al Di Meola","Consequence Of Chaos",Jazz,2006,"San Marco (Moderna)",4:55,0,1,20/03/2020 10:44,01/04/2020 09:19
"Al Di Meola","Consequence Of Chaos",Jazz,2006,"Black Pearls",3:07,0,1,20/03/2020 10:44,27/03/2020 14:31
"André Geraissati e Egberto Gismonti","Música Viva",MIB,1996,"Três Marias",3:53,0,1,20/03/2020 10:44,30/05/2020 10:18
"André Geraissati e Egberto Gismonti","Música Viva",MIB,1996,"Agreste",3:41,0,1,20/03/2020 10:44,30/05/2020 10:21
"André Geraissati e Egberto Gismonti","Música Viva",MIB,1996,"Fazenda oitenta e três",5:02,0,1,20/03/2020 10:44,30/05/2020 10:26
"José Peixoto e Maria João","Pele",Portuguese Music,2002,"Que Nome Posso Ter",2:49,0,1,20/03/2020 10:44,23/05/2020 12:43
"José Peixoto e Maria João","Pele",Portuguese Music,2002,"Milhões de Sois",3:25,0,1,20/03/2020 10:44,23/05/2020 12:46
"José Peixoto e Maria João","Pele",Portuguese Music,2002,"Sei Melhor",4:05,0,1,20/03/2020 10:44,23/05/2020 12:50
"José Peixoto e Maria João","Pele",Portuguese Music,2002,"Amor de Água Triste",5:22,0,1,20/03/2020 10:44,23/05/2020 12:56
"José Peixoto e Maria João","Pele",Portuguese Music,2002,"Passei Horas a Pensar",3:42,0,1,20/03/2020 10:44,23/05/2020 12:59
"José Peixoto e Maria João","Pele",Portuguese Music,2002,"Dança do Teu Fogo",4:05,0,1,20/03/2020 10:44,23/05/2020 13:03
