Artista,Album,Genero,Ano,Nome,Duracao,Classificação,Reproducoes,DataAdicao,UltimaReproducao
"André Geraissati e Egberto Gismonti","Música Viva",MIB,1996,"Fazenda oitenta e três",5:02,0,1,20/03/2020 10:44,30/05/2020 10:26
"André Geraissati e Egberto Gismonti","Música Viva",MIB,1996,"Fazenda oitenta e três",5:02,0,1,20/03/2020 10:44,30/05/2020 10:26
"André Geraissati e Egberto Gismonti","Música Viva",MIB,1996,"Agreste",3:41,0,1,20/03/2020 10:44,30/05/2020 10:21
"André Geraissati e Egberto Gismonti","Música Viva",MIB,1996,"Agreste",3:41,0,1,20/03/2020 10:44,30/05/2020 10:21
"André Geraissati e Egberto Gismonti","Música Viva",MIB,1996,"Três Marias",3:53,0,1,20/03/2020 10:44,30/05/2020 10:18
"André Geraissati e Egberto Gismonti","Música Viva",MIB,1996,"Três Marias",3:53,0,1,20/03/2020 10:44,30/05/2020 10:18
"Madredeus","Ainda",Portuguese Music,1995,"Maio Maduro Maio",4:13,0,1,20/03/2020 10:44,23/05/2020 18:28
"Madredeus","Ainda",Portuguese Music,1995,"Maio Maduro Maio",4:13,0,1,20/03/2020 10:44,23/05/2020 18:28
"Madredeus","Ainda",Portuguese Music,1995,"Ainda",7:28,0,1,20/03/2020 10:44,23/05/2020 18:24
"Madredeus","Ainda",Portuguese Music,1995,"Ainda",7:28,0,1,20/03/2020 10:44,23/05/2020 18:24
"Madredeus","Ainda",Portuguese Music,1995,"Alfama",3:31,0,1,20/03/2020 10:44,23/05/2020 18:16
"Madredeus","Ainda",Portuguese Music,1995,"Alfama",3:31,0,1,20/03/2020 10:44,23/05/2020 18:16
"Madredeus","Ainda",Portuguese Music,1995,"Viagens Interditas",2:54,0,1,20/03/2020 10:44,23/05/2020 18:13
"Madredeus","Ainda",Portuguese Music,1995,"Viagens Interditas",2:54,0,1,20/03/2020 10:44,23/05/2020 18:13
"Madredeus","Ainda",Portuguese Music,1995,"O Tejo",4:13,0,1,20/03/2020 10:44,23/05/2020 18:10
"Madredeus","Ainda",Portuguese Music,1995,"O Tejo",4:13,0,1,20/03/2020 10:44,23/05/2020 18:10
"Madredeus","Ainda",Portuguese Music,1995,"A Cidade E Os Campos",3:34,0,1,20/03/2020 10:44,23/05/2020 18:05
"Madredeus","Ainda",Portuguese Music,1995,"A Cidade E Os Campos",3:34,0,1,20/03/2020 10:44,23/05/2020 18:05
"Madredeus","Ainda",Portuguese Music,1995,"Miradouro De Santa Catarina",4:10,0,1,20/03/2020 10:44,23/05/2020 17:55
"Madredeus","Ainda",Portuguese Music,1995,"Miradouro De Santa Catarina",4:10,0,1,20/03/2020 10:44,23/05/2020 17:55
