Artista,Album,Genero,Ano,Nome,Duracao,Classificação,Reproducoes,DataAdicao,UltimaReproducao
"Pat Metheny & Lyle Mays","As Falls Wichita, So Falls Wichita Fall",Jazz,1981,"September Fifteenth",7:45,100,1,20/03/2020 10:44,22/03/2020 21:35
"Pat Metheny & Lyle Mays","As Falls Wichita, So Falls Wichita Fall",Jazz,1981,"It's For You'",8:20,100,1,20/03/2020 10:44,22/03/2020 21:43
"Milton Nascimento","Clube Da Esquina",MPB,1972,"Clube Da Esquina Nº 2",3:39,100,1,20/03/2020 10:44,22/03/2020 22:11
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"Rio de las penas",2:59,100,1,20/03/2020 10:44,22/03/2020 22:23
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"cancion para carito",3:39,100,1,20/03/2020 10:44,22/03/2020 22:27
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"volver a los 17",5:43,100,1,20/03/2020 10:44,22/03/2020 22:32
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"casamento de negros",3:32,100,1,20/03/2020 10:44,22/03/2020 22:36
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"cio da terra",3:20,100,1,20/03/2020 10:44,22/03/2020 22:40
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"cio da terra(falada)",0:56,100,1,20/03/2020 10:44,22/03/2020 22:41
"Adriana Deffenti","Adriana Deffenti",MPB,2006,"Luca",4:04,100,1,20/03/2020 10:44,27/04/2020 14:16
"Pat Metheny","From This Place",Jazz,2020,"Same River",6:43,80,1,20/03/2020 09:39,27/03/2020 15:33
"Los Jaivas","Cancion Del Sur",,1977,"La Vida Magica, Ay Sí",3:21,0,1,20/03/2020 10:44,22/03/2020 21:51
"Los Jaivas","Cancion Del Sur",,1977,"La Vida Magica, Ay Sí",3:21,0,1,20/03/2020 10:44,22/03/2020 21:51
"Los Tres","MTV Unplugged",Rock,1996,"Pájaros De Fuego",5:16,0,1,20/03/2020 10:44,22/03/2020 23:04
"Los Tres","MTV Unplugged",Rock,1996,"Pájaros De Fuego",5:16,0,1,20/03/2020 10:44,22/03/2020 23:04
"Los Tres","MTV Unplugged",Rock,1996,"Me Rompió El Corazón",4:10,0,1,20/03/2020 10:44,22/03/2020 23:08
"Los Tres","MTV Unplugged",Rock,1996,"Me Rompió El Corazón",4:10,0,1,20/03/2020 10:44,22/03/2020 23:08
"Al Di Meola","Consequence Of Chaos",Jazz,2006,"Black Pearls",3:07,0,1,20/03/2020 10:44,27/03/2020 14:31
"Al Di Meola","Consequence Of Chaos",Jazz,2006,"Black Pearls",3:07,0,1,20/03/2020 10:44,27/03/2020 14:31
"Pink Floyd","The Final Cut",Rock Progressivo,1983,"The Hero's Return",2:57,0,2,20/03/2020 10:44,30/03/2020 11:55
