Artista,Album,Genero,Ano,Nome,Duracao,Classificação,Reproducoes,DataAdicao,UltimaReproducao
"Adriana Deffenti","Adriana Deffenti",MPB,2006,"Luca",4:04,100,1,20/03/2020 10:44,27/04/2020 14:16
"Milton Nascimento","Clube Da Esquina",MPB,1972,"Clube Da Esquina Nº 2",3:39,100,1,20/03/2020 10:44,22/03/2020 22:11
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"Rio de las penas",2:59,100,1,20/03/2020 10:44,22/03/2020 22:23
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"cancion para carito",3:39,100,1,20/03/2020 10:44,22/03/2020 22:27
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"volver a los 17",5:43,100,1,20/03/2020 10:44,22/03/2020 22:32
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"casamento de negros",3:32,100,1,20/03/2020 10:44,22/03/2020 22:36
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"cio da terra",3:20,100,1,20/03/2020 10:44,22/03/2020 22:40
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"cio da terra(falada)",0:56,100,1,20/03/2020 10:44,22/03/2020 22:41
"Pat Metheny & Lyle Mays","As Falls Wichita, So Falls Wichita Fall",Jazz,1981,"September Fifteenth",7:45,100,1,20/03/2020 10:44,22/03/2020 21:35
"Pat Metheny & Lyle Mays","As Falls Wichita, So Falls Wichita Fall",Jazz,1981,"It's For You'",8:20,100,1,20/03/2020 10:44,22/03/2020 21:43
"Maria João e Mário Laginha","Iridescente",Portuguese Music,2012,"Músculo",5:10,100,0,20/03/2020 10:44,
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"circo marimbondo",4:54,100,0,20/03/2020 10:44,
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"sueno com serpentes",4:58,100,0,20/03/2020 10:44,
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"san vicente",3:48,100,0,20/03/2020 10:44,
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"cuando tenga la tierra",4:04,100,0,20/03/2020 10:44,
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"solo le pido a dios",4:11,100,0,20/03/2020 10:44,
"Milton Nascimento, Mercedes Soza e Leon Gieco","Corazon Americano",MPB,1986,"corazon de estudiente",4:36,100,0,20/03/2020 10:44,
"Pat Metheny","From This Place",Jazz,2020,"From This Place",4:40,100,0,20/03/2020 09:39,
"Pat Metheny","From This Place",Jazz,2020,"Everything Explained",6:52,100,0,20/03/2020 09:39,
"Pat Metheny","From This Place",Jazz,2020,"America Undefined",13:22,100,0,20/03/2020 09:39,
