Artista,Album,Genero,Ano,Nome,Duracao,Classificação,Reproducoes,DataAdicao,UltimaReproducao
Ani DiFranco,Binary,,2017,Binary,4:22,,2,20/03/2020 10:44,23/05/2020 12:09
Pink Floyd,The Final Cut,Rock Progressivo,1983,The Hero's Return,2:57,,2,20/03/2020 10:44,30/03/2020 11:55
Regina Carter,Reverse Thread,Jazz,2010,Juru Nani / God Be with You,4:08,,2,20/03/2020 10:44,01/04/2020 10:09
Adriana Deffenti,Adriana Deffenti,MPB,2006,O Recado Delas,3:56,,1,20/03/2020 10:44,27/04/2020 14:12
Adriana Deffenti,Adriana Deffenti,MPB,2006,Luca,4:04,100,1,20/03/2020 10:44,27/04/2020 14:16
Adriana Deffenti,Adriana Deffenti,MPB,2006,Capitu,3:46,,1,20/03/2020 10:44,27/04/2020 14:21
Adriana Deffenti,Adriana Deffenti,MPB,2006,É Assim Que Brinco,5:02,,1,20/03/2020 10:44,27/04/2020 14:26
Al Di Meola,Consequence Of Chaos,Jazz,2006,San Marco (Moderna),4:55,,1,20/03/2020 10:44,01/04/2020 9:19
Al Di Meola,Consequence Of Chaos,Jazz,2006,Black Pearls,3:07,,1,20/03/2020 10:44,27/03/2020 14:31
André Geraissati e Egberto Gismonti,Música Viva,MIB,1996,Três Marias,3:53,,1,20/03/2020 10:44,30/05/2020 10:18
André Geraissati e Egberto Gismonti,Música Viva,MIB,1996,Agreste,3:41,,1,20/03/2020 10:44,30/05/2020 10:21
André Geraissati e Egberto Gismonti,Música Viva,MIB,1996,Fazenda oitenta e três,5:02,,1,20/03/2020 10:44,30/05/2020 10:26
José Peixoto e Maria João,Pele,Portuguese Music,2002,Sono Adormecido,4:09,,1,20/03/2020 10:45,23/05/2020 12:35
José Peixoto e Maria João,Pele,Portuguese Music,2002,Vê Se Adivinhas,5:02,,1,20/03/2020 10:47,23/05/2020 12:40
José Peixoto e Maria João,Pele,Portuguese Music,2002,Que Nome Posso Ter,2:49,,1,20/03/2020 10:44,23/05/2020 12:43
José Peixoto e Maria João,Pele,Portuguese Music,2002,Milhões de Sois,3:25,,1,20/03/2020 10:44,23/05/2020 12:46
José Peixoto e Maria João,Pele,Portuguese Music,2002,Sei Melhor,4:05,,1,20/03/2020 10:44,23/05/2020 12:50
José Peixoto e Maria João,Pele,Portuguese Music,2002,Amor de Água Triste,5:22,,1,20/03/2020 10:44,23/05/2020 12:56
José Peixoto e Maria João,Pele,Portuguese Music,2002,Passei Horas a Pensar,3:42,,1,20/03/2020 10:44,23/05/2020 12:59
José Peixoto e Maria João,Pele,Portuguese Music,2002,Dança do Teu Fogo,4:05,,1,20/03/2020 10:44,23/05/2020 13:03
José Peixoto e Maria João,Pele,Portuguese Music,2002,Pra Não Ter Medo,4:40,,1,20/03/2020 10:44,23/05/2020 13:08
Los Jaivas,Cancion Del Sur,,1977,"La Vida Magica, Ay Sí",3:21,,1,20/03/2020 10:44,22/03/2020 21:51
Los Tres,MTV Unplugged,Rock,1996,Pájaros De Fuego,5:16,,1,20/03/2020 10:44,22/03/2020 23:04
Los Tres,MTV Unplugged,Rock,1996,Me Rompió El Corazón,4:10,,1,20/03/2020 10:44,22/03/2020 23:08
Madredeus,Ainda,Portuguese Music,1995,Guitarra,3:48,,1,20/03/2020 10:44,23/05/2020 17:43
Madredeus,Ainda,Portuguese Music,1995,Milagre,4:20,,1,20/03/2020 10:44,23/05/2020 17:47
Madredeus,Ainda,Portuguese Music,1995,Céu Da Mouraria,3:43,,1,20/03/2020 10:44,23/05/2020 17:51
Madredeus,Ainda,Portuguese Music,1995,Miradouro De Santa Catarina,4:10,,1,20/03/2020 10:44,23/05/2020 17:55
Madredeus,Ainda,Portuguese Music,1995,A Cidade E Os Campos,3:34,,1,20/03/2020 10:44,23/05/2020 18:05
Madredeus,Ainda,Portuguese Music,1995,O Tejo,4:13,,1,20/03/2020 10:44,23/05/2020 18:10
Madredeus,Ainda,Portuguese Music,1995,Viagens Interditas,2:54,,1,20/03/2020 10:44,23/05/2020 18:13
Madredeus,Ainda,Portuguese Music,1995,Alfama,3:31,,1,20/03/2020 10:44,23/05/2020 18:16
Madredeus,Ainda,Portuguese Music,1995,Ainda,7:28,,1,20/03/2020 10:44,23/05/2020 18:24
Madredeus,Ainda,Portuguese Music,1995,Maio Maduro Maio,4:13,,1,20/03/2020 10:44,23/05/2020 18:28
Maria João e Mário Laginha,Iridescente,Portuguese Music,2012,Músculo,5:10,100,,20/03/2020 10:44,
Milton Nascimento,Clube Da Esquina,MPB,1972,Clube Da Esquina Nº 2,3:39,100,1,20/03/2020 10:44,22/03/2020 22:11
"Milton Nascimento, Mercedes Soza e Leon Gieco",Corazon Americano,MPB,1986,Rio de las penas,2:59,100,1,20/03/2020 10:44,22/03/2020 22:23
"Milton Nascimento, Mercedes Soza e Leon Gieco",Corazon Americano,MPB,1986,cancion para carito,3:39,100,1,20/03/2020 10:44,22/03/2020 22:27
"Milton Nascimento, Mercedes Soza e Leon Gieco",Corazon Americano,MPB,1986,volver a los 17,5:43,100,1,20/03/2020 10:44,22/03/2020 22:32
